,sensor_id,longitude,latitude,airqualityindex,relativehumidity,atmosphericpressure,co2,pm2p5,uv,o3,airtemperature,no2,co,pm10,illuminance,so2,ambientnoise
40,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,73.889113,18.546154,95.74001971414489,68.82087796086508,0.934443872296601,26.309016477857877,41.13306900102987,0.3367481977342945,9.368831101956744,24.951073635427395,57.607770339855826,1.6844438722966018,77.6190113285273,6059.74683410613,1.1963523956723339,79.48327408552292
20,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,73.873166,18.552553,223.67555147058823,69.56414062500001,0.9378584558823527,620.9035983455882,107.86187126436782,0.03737011494252874,18.747967816091954,24.68097011494253,51.312772413793105,0.7795264367816092,161.44860229885055,880.8090666666666,0.5414252873563218,75.60488735632184
32,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,73.795248,18.508049,89.15812542144302,65.00275489534097,0.9316441593517891,132.4606515867657,17.519608372721134,0.382204591492235,16.316296421336933,26.096063470627957,70.83194125590818,1.2961850101282917,40.06325118163403,2211.4388757596216,6.176428089128968,72.9146893990547
8,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,73.913848,18.565271,74.61689159773617,66.90847685185184,0.9333888888888888,24.15797222222222,19.046813543599256,0.278678107606679,9.214239332096476,25.690477736549163,49.4888445475638,1.4575104505341383,46.32078959591268,711.6688620529494,3.0468927078495125,101.99663725034836
6,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,73.801601,18.456863,80.13259284970496,71.39556907659271,0.9354223335719396,263.2046544933763,30.91921891795056,0.19752688172043006,39.834913978494626,23.74209318996416,49.99988526353531,0.9633010405453895,64.3543200574094,2505.5575888051667,4.983774668101901,68.02440258342304
39,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,73.84607,18.501086,186.1047557840617,72.2343023255814,0.9386240310077516,481.6762177002584,87.9429134366925,0.4446479328165374,39.24915697674419,23.405759043927652,22.51109819121447,1.6819928940568474,121.83848837209301,1928.0273901808782,2.0684657622739016,81.12339793281654
18,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,73.869399,18.501306,133.74257071249554,66.61244622675902,0.9343674808603716,0.08106627175120325,62.10671698113208,0.24722647283856158,18.044357197844498,25.70334872979215,51.54065453137103,1.910890704006223,123.52846363282767,1699.7269233761183,0.33112109375,65.56925781250001
46,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,73.840366,18.509298,292.93821960123563,68.92437535330696,0.9336941775014129,292.09782387475536,178.82861839530332,0.13894713261648745,50.08221774193548,23.578844086021505,42.20158602150538,1.0184901433691755,277.31586917562726,5441.126989247312,0.09025985663082436,72.8390053763441
49,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,73.874251,18.528387,217.49125282167043,66.96278726968174,0.9386800670016747,381.74067739771965,100.27485733467606,0.18472800537273334,15.226209677419353,25.065860215053764,54.680858296869744,1.222025615099427,154.74531176272328,918.6881968318166,1.1134087073911576,79.66116436044548
45,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,73.783532,18.507789,80.27871024734982,67.7098275862069,0.9383023872679044,448.4513969938108,15.15841802492809,0.2840124640460211,30.6333125599233,26.2848849472675,50.783959731543625,1.6462032598274208,27.611399808245444,1297.762631831256,2.328533077660594,72.2986481303931
2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,73.84992,18.530344,109.40756663800516,70.87666955266955,0.9380634920634917,44.605235209235204,9.397721815519766,0.06328257686676428,6.188571010248903,24.817651537335284,79.62202635431917,1.6911888726207907,15.326743777452416,2898.011777452416,2.21985944363104,73.27590336749633
22,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,73.889322,18.552602,156.42839922854387,68.70454958364876,0.93781226343679,136.52994448650014,66.16895786020692,0.22777441332324,12.276898814029774,24.448119161827822,90.63752082807372,1.7093057308760413,119.520002524615,1540.752681141126,0.12326937642009593,63.518374147942446
